NAME;TITLE ID;BUILD ID;FILE PATH
ACANEOGEOSENGOKU2;01009B300872A000;3f6ca7b86b217fa0;sxos\titles\01009B300872A000\cheats\3f6ca7b86b217fa0.txt
ACANEOGEOSENGOKU3;01008D000877C000;3561311d56fbdfb0;sxos\titles\01008D000877C000\cheats\3561311d56fbdfb0.txt
ACANEOGEOSHOCKTROOPERS;01008A9001DC2000;b4ee7c055c9d50bf;sxos\titles\01008A9001DC2000\cheats\b4ee7c055c9d50bf.txt
ACANEOGEOSHOCKTROOPERS2ndSquad;01004DE001DC8000;35f6dbc315cd74c7;sxos\titles\01004DE001DC8000\cheats\35f6dbc315cd74c7.txt
ACANEOGEOSPINMASTER;01007D1004DBA000;fe6adbf2941b2d54;sxos\titles\01007D1004DBA000\cheats\fe6adbf2941b2d54.txt
ACANEOGEOSTRIKERS1945PLUS;010061600BF7E000;c356ed633d2bf7fc;sxos\titles\010061600BF7E000\cheats\c356ed633d2bf7fc.txt
ACANEOGEOTHEKINGOFFIGHTERS2000;0100B97002B44000;e1e188aa898b0ac6;sxos\titles\0100B97002B44000\cheats\e1e188aa898b0ac6.txt
ACANEOGEOTHEKINGOFFIGHTERS94;0100EB2001DCC000;11433c3afee06e02,e121a5898af4a0d9;sxos\titles\0100EB2001DCC000\cheats\11433c3afee06e02.txt
ACANEOGEOTHEKINGOFFIGHTERS94;0100EB2001DCC000;11433c3afee06e02,e121a5898af4a0d9;sxos\titles\0100EB2001DCC000\cheats\e121a5898af4a0d9.txt
ACANEOGEOTHEKINGOFFIGHTERS95;01009DC001DB6000;ba81650bec0cbd54;sxos\titles\01009DC001DB6000\cheats\ba81650bec0cbd54.txt
ACANEOGEOTHEKINGOFFIGHTERS96;01006F0004FB4000;4935e4ef30e27318;sxos\titles\01006F0004FB4000\cheats\4935e4ef30e27318.txt
ACANEOGEOTHEKINGOFFIGHTERS97;0100170008728000;6fe5ce6a41339cf1;sxos\titles\0100170008728000\cheats\6fe5ce6a41339cf1.txt
ACANEOGEOTHEKINGOFFIGHTERS98;0100B42001DB4000;1e7696ee3bf2324e,a45e6532566b6592;sxos\titles\0100B42001DB4000\cheats\1e7696ee3bf2324e.txt
ACANEOGEOTHEKINGOFFIGHTERS98;0100B42001DB4000;1e7696ee3bf2324e,a45e6532566b6592;sxos\titles\0100B42001DB4000\cheats\a45e6532566b6592.txt
ACANEOGEOTHEKINGOFFIGHTERS99;0100583001DCA000;4b73e372b81fba06;sxos\titles\0100583001DCA000\cheats\4b73e372b81fba06.txt
ACANEOGEOTHELASTBLADE;0100A5A004FB2000;e8e0e68054bbd6bb;sxos\titles\0100A5A004FB2000\cheats\e8e0e68054bbd6bb.txt
ACANEOGEOTHELASTBLADE2;0100699008792000;b6560d22aabe3ec4;sxos\titles\0100699008792000\cheats\b6560d22aabe3ec4.txt
ACANEOGEOTHESUPERSPY;0100F7F00AFA2000;0100f7f00afa2000,f8ba90e5cf567c5b;sxos\titles\0100F7F00AFA2000\cheats\0100f7f00afa2000.txt
ACANEOGEOTHESUPERSPY;0100F7F00AFA2000;0100f7f00afa2000,f8ba90e5cf567c5b;sxos\titles\0100F7F00AFA2000\cheats\f8ba90e5cf567c5b.txt
ACANEOGEOTWINKLESTARSPRITES;0100B8300AFD8000;a6069d8d14422130;sxos\titles\0100B8300AFD8000\cheats\a6069d8d14422130.txt
ACANEOGEOWAKUWAKU7;0100CEF001DC0000;e9849e22467b5e3b,f15d4f7092756a32;sxos\titles\0100CEF001DC0000\cheats\e9849e22467b5e3b.txt
ACANEOGEOWAKUWAKU7;0100CEF001DC0000;e9849e22467b5e3b,f15d4f7092756a32;sxos\titles\0100CEF001DC0000\cheats\f15d4f7092756a32.txt
ACANEOGEOWorldHeroes2;01001BD00915A000;9a1266ca1bfc5c7b;sxos\titles\01001BD00915A000\cheats\9a1266ca1bfc5c7b.txt
ACANEOGEOWorldHeroes2JetV1.0.0;01006C3004FAE000;6a68dc16168178fe;sxos\titles\01006C3004FAE000\cheats\6a68dc16168178fe.txt
ACANEOGEOWORLDHEROESPERFECT;01009D4001DC4000;ce31f943f1e25699;sxos\titles\01009D4001DC4000\cheats\ce31f943f1e25699.txt
ACANEOGEOZEDBLADE;01005AF004DBC000;cc39c06bf1194eb6;sxos\titles\01005AF004DBC000\cheats\cc39c06bf1194eb6.txt
Acalesia;010092E014400000;bcd8aa948ba1afa0;sxos\titles\010092E014400000\cheats\bcd8aa948ba1afa0.txt
AcesoftheLuftwaffeSquadron;0100B28003440000;d8ae31761c6f8b4b;sxos\titles\0100B28003440000\cheats\d8ae31761c6f8b4b.txt
AdventuresofChris;010072601233C000;0bc179deb4a21746;sxos\titles\010072601233C000\cheats\0bc179deb4a21746.txt
AdventuresofPip;01002B5012004000;27e9e9dd95465d4e;sxos\titles\01002B5012004000\cheats\27e9e9dd95465d4e.txt
AegisDefenders;01008E6006502000;3785b9800028344e;sxos\titles\01008E6006502000\cheats\3785b9800028344e.txt
AeternoBladeII;0100AE500E76A000;921240ac4565ca44;sxos\titles\0100AE500E76A000\cheats\921240ac4565ca44.txt
Ageless;0100156011032000;167edee127f74449;sxos\titles\0100156011032000\cheats\167edee127f74449.txt
AgesofMages:Thelastkeeper;0100E4700E040000;0dba20eedd60d347;sxos\titles\0100E4700E040000\cheats\0dba20eedd60d347.txt
Ailment;01006E8011C1E000;f66cf247527e8b42;sxos\titles\01006E8011C1E000\cheats\f66cf247527e8b42.txt
AircraftEvolution;0100E95011FDC000;2f2fca041ea27841;sxos\titles\0100E95011FDC000\cheats\2f2fca041ea27841.txt
Airheart-TalesofbrokenWings;01003DD00BFEE000;803f74b0bc347d44;sxos\titles\01003DD00BFEE000\cheats\803f74b0bc347d44.txt
Akane;01007F100DE52000;469a52d777c7104d;sxos\titles\01007F100DE52000\cheats\469a52d777c7104d.txt
AKIBA'STRIP:Hellbound&Debriefed;01009E8012976000;7effb08c8fb4e34f;sxos\titles\01009E8012976000\cheats\7effb08c8fb4e34f.txt
Akuarium;0100D4C00EE0C000;eaadebf18fb06c4c;sxos\titles\0100D4C00EE0C000\cheats\eaadebf18fb06c4c.txt
