No;NAME;TITLE ID;BUILD ID
108;Akuarium;0100D4C00EE0C000;eaadebf18fb06c4c
109;AlchemicDungeonsDX;01000E800CC26000;defe7d368a6c2f41
110;AlchemistAdventure;0100946014634000;6738915a3b98814f
111;Alchemist'sCastle;010001E00F75A000;c689afb3decb9e45
112;AldredKnight;01000E000EEF8000;236d582155dd4546,6626e13268010c47
113;AlexKiddinMiracleWorldDX;010025D01221A000;4a14c2625f66db48
114;AlienCruise;0100A2E00D0E0000;ca1a5e968e4e9345
115;Alien:Isolation;010075D00E8BA000;32620c385527e689,ebe18862ae4eca75
116;ALPHA;01000A800B998000;92733fbf49aeae41
117;AlphadiaGenesis;0100C7801232C000;4b2884f107b9a441
118;AlvastiaChronicles;0100F0700CD8E000;47f64e0a2ebff34c
119;Alwa'sAwakening;01004C200B0B4000;772b6432411f3e4a
120;Alwa'sLegacy;01001B7012214000;5077a304bb0ffb42,b99f66187b518e49
121;AmericanFugitive;010002B00C534000;bfba9856a1eaf74d
122;AmoebaBattle-MicroscopicRTSAction;010041D00DEB2000;fac657e2a78da428
123;AngerForce:Reloaded;010001E00A5F6000;c80ef6e755322446
124;AngryVideoGameNerd1&2Deluxe;010084500C7DC000;3baf3d80b6c82243,b876128d4eea7c4f
125;Anima:GateofMemories;0100706005B6A000;5a76a682efa30847
126;Anima:GateofMemories-TheNamelessChronicles;01007A400B3F8000;5a76a682efa30847
127;AnimalCrossing:NewHorizons[Rev1.0.0];01006F8002326000;20ca968c082118c2,3068f51723dc1a67,7fc1baff976aeca4,8379d9e90ff19b0f,9429fc5202937d7f,a31f81d41e1039c5,b0d6d16556b61bf5,e2d890a4d19fad02,f829a27213d46f9f,fdc1632048facfbd
128;ANIMUS;010097600C322000;f2748846fcfa414d
129;AntiquiaLost;0100016007154000;9080cb391b13a842
130;AraFell:EnhancedEdition;010080B0115BA000;50d84c959a7a6f42
131;Aragami:ShadowEdition;010071800BA74000;f3315f8027a9b24a
132;ArcofAlchemist;0100C7D00E6A0000;3873d07a0f36f124
133;ArcadeArchives64th.STREET;01008CE0123CC000;635b84ad7d37c9b4
134;ArcadeArchivesAtomicRobo-Kid;0100426001DE4000;a7015107cf210c4c
135;ArcadeArchivesBOMBJACK;0100192009824000;a5ee4d39384478cf
136;ArcadeArchivesCityCONNECTION;010007A00980C000;d3d6c45a044da864
137;ArcadeArchivesCONTRA;01007F4012B84000;3012eb62b098d6db
138;ArcadeArchivesCosmoPoliceGalivan;010071C00982C000;3e06ee2ffd061df1
139;ArcadeArchivesCRIMEFIGHTERS;01002620141B6000;a984212b70c962d8
140;ArcadeArchivesDOUBLEDRAGON;0100F25001DD0000;ee8ff8ab280b735f
141;ArcadeArchivesEARTHDEFENSEFORCE;01005960123CE000;95782219a41d9481
142;ArcadeArchivesEXCITEBIKE;0100328009800000;8a1bde094fffb53c
143;ArcadeArchivesFROGGER;010047100F978000;7d6224f7125ce217
144;ArcadeArchivesGeminiWing;0100938012A2E000;24db68e0a702f77a
145;ArcadeArchivesGRADIUS;0100A070105A6000;ee81fdf68d947bde
146;ArcadeArchivesGRADIUSII;0100721012F9C000;6fe4e4924c8542ac
147;ArcadeArchivesGRADIUSIII;01006230131A4000;18894b1da8ccf481
148;ArcadeArchivesICECLIMBER;01007D200D3FC000;dfb5e9bed275bc83
149;ArcadeArchivesIKARIIII-THERESCUE-;01004B1010E58000;78c93f31319080e0
150;ArcadeArchivesIMAGEFIGHT;010008300C978000;607440a612128046
151;ArcadeArchivesKidNikiRadicalNinja;010010B008A36000;6ce5d7797e98be64
152;ArcadeArchivesKOUTETSUYOUSAISTRAHL;01005370123D0000;4c32b4f0cdc19592
153;ArcadeArchivesLIFEFORCE;0100F380105A4000;c1524d35c1d101ee
154;ArcadeArchivesLIGHTNINGFIGHTERS;0100043011CEC000;9965d21ee9ea2969
155;ArcadeArchivesMARIOBROS.;0100755004608000;e6565a2d8f70b84c
156;ArcadeArchivesNINJAGAIDEN;01003EF00D3B4000;e6b68d2c81f73e85
157;ArcadeArchivesP-47;010067A011FF0000;71ff1076b315216c
158;ArcadeArchivesP.O.W.-PRISONERSOFWAR-;0100547010920000;4f61b94412a715ba
159;ArcadeArchivesPLUSALPHA;01007F8010C66000;c57568440db209cc
160;ArcadeArchivesRYGAR;0100C2D00981E000;5b2e5bd36b0a27ba
161;ArcadeArchivesShanghaiIII;01003A4001DD4000;854c8aaaa42727f8
162;ArcadeArchivesSolomon'sKey;01008C900982E000;44f1b4597bf9050e
163;ArcadeArchivesSUNSETRIDERS;0100D90011534000;814bb22a30cb2d84
164;ArcadeArchivesTHELEGENDOFKAGE;0100353009836000;2bdb81f455cdd65f
165;ArcadeArchivesTwinBee;010050200FFD2000;95be6cae58392dd9
166;ArcadeArchivesVIGILANTE;0100EA300EFF0000;8abd1e656b931a9f
167;ArcadeArchivesVS.CASTLEVANIA;010029600EAE4000;7b4f8c2530bb4564
168;ArcadeArchivesVS.GRADIUS;01004EC00E634000;5052c4b099581ae2
169;ArcadeArchivesVS.SUPERMARIOBROS.;010021D00812A000;82fff40b9cea383d
170;ArcadeArchivesYieArKUNG-FU;01003FB00E954000;ca6a651294cf3fd4
171;ArcadeArchivesZEROTEAM;0100EFF0137DA000;af17820c7d8c761e
172;ArcadeClassicsAnniversaryCollection;010050000D6C4000;dd08d44d738cca61
173;ArchlionSaga;0100B3500DFB8000;2ac7ca483ed0b341
174;Armed7DX;0100C5B0113A0000;3ee273ceb6829739
175;ArmedBlueGunvoltStrikerPack;0100192003FA4000;758226eae49fe1bb
176;ARMS;01009B500007C000;501924b7c22129e5,f5c7d98b0911dcd0
177;AryandtheSecretofSeasons[Rev1.0];0100C2500CAB6000;0100c2500cab6000,deaf0fbb8eb73e48
178;AsdivineDios;010054B00D4A2000;c3cdf1e64243454e
179;AsdivineHeartsII;01007D300CD8C000;4289643df297d948
180;AsdivineKamura;0100C8E00F50A000;7ac8cbfa0d59a04c
181;AsdivineMenace;0100FE000EC24000;28843f0341014540
182;Ashen;010027B00E40E000;663e05ab067861ec
183;Asphalt9:Legends;01007B000C834000;b1c2d8f36cd4725b
184;AssassinsCreedIIIRemastered;01007F600B134000;43ddf3aed0e7e500,4e2bd0a86a253f9f
185;AssassinsCreed:TheRebelCollection;010044700DEB0000;85f5d5ab6187f602
186;Assassin’sCreed®:TheRebelCollection;010044700DEB0001;3def0e36aa8c6592
187;AssaultAndroidCactus+;0100DF200B24C000;7ad47ba04885eb42
188;Astebreed;010057A00C1F6000;813b4faa88a4a839
189;Asterix&ObelixXXL2;010050400BD38000;18e851c890fb050f,54b68b533375c472,6834f132c82c8580,98569f4e50af13ec,c7d8c40ce277ee1d
190;Asterix&ObelixXXL3:TheCrystalMenhir;010081500EA1E000;57f46046a792060d,6bdd78ea97acb4ec,6d18af70d6ffe1c2
191;Asterix&ObelixXXL:Romastered[Rev1.0.21.0];0100F46011B50000;ad1d1e92d1bd38d5
192;ASTRALCHAIN;01007300020FA000;4b159f0f7a360669,ed2026b20685971f
193;ASTROAQUAKITTY;01007210128C0000;b5f6de166ad55d7e
194;AstroWings:SpaceWar;0100DF401249C000;161d40765906024c
195;AtelierAyesha:TheAlchemistofDuskDX;0100D9D00EE8C000;b9146e1cad9e36ba
196;AtelierEscha&Logy:AlchemistsoftheDuskSkyDX;0100E5600EE8E000;4bbb3b3455d306c6
197;AtelierLulua~TheScionofArland~;0100B1400CD50000;789e7b6351d8c862,ca7facaec708311c
198;AtelierLydie&Suelle:TheAlchemistsandtheMysteriousPaintings;010009900947A000;4d266d1ad3e90e74,bddcda1760494f35
199;AtelierMeruru~TheApprenticeofArland~DX;0100ADD00C6FA000;e76c3624d3ae3dce
200;AtelierRorona~TheAlchemistofArland~DX;010088600C66E000;967d32be4b10b67e
201;AtelierRyza2:LostLegends&theSecretFairy;01009A9012022000;793a31892f3ad547,9c69b88f4fcb6c27,d539fa1d45be2d76,dd026564e85d710b
202;AtelierRyza2:UshinawaretaDenshoutoHimitsunoYousei[Rev1.0.0];0100B020117D8000;793a31892f3ad547,895b31a76eb93591
203;AtelierRyza:EverDarknessandtheSecretHideout;0100D1900EC80000;4e9e9501d27dd02e,5017110db5aac6cc,6b721d06b7bbb451,78a0edfbd60c976e,832995cff172d59d,be0efde5580470db,c903abd00f428b59
204;AtelierRyza:TokoyaminoJootoHimitsunoKakurega;010096000E1EC000;e5fe2eda21830af4,eae04edb51679145
205;AtelierShallie:AlchemistsoftheDuskSeaDX;010005C00EE90000;aab0450a965202ec
206;AtelierTotori~TheAdventurerofArland~DX;01009BC00C6F6000;4fd4bfe66c5353d4
207;ATOMRPG;0100B9400FA38000;66eb9b52dc430942
208;Atomicrops;0100AD30095A4000;e185fa010520954a
209;AvoCuddle;01008FB011248000;9906622a5b311548
210;AwakeningofCthulhu;0100085012D64000;9da80cf7e4903ec4
211;AxiomVerge;0100052004384000;25c24171344c071d,ff4c1c4fd0d9651c
212;AzurLane:Crosswave[Rev1.0.0];0100603011772000;8003a997eaad2a11
213;AzuranTales:TRIALS;0100C7D00DE24000;834b06427856bf44
214;AzureReflections;01006FB00990E000;72bbc4ca4a543699
215;AzureSaga:PathfinderDELUXEEdition;010029E00C780000;2c8fc0457727cc4e
216;AzureStrikerGUNVOLT:STRIKERPACK;01003C100655A000;24017817548c5eb7
